"","Species","Ecoregion","mean_ProbEst"
"232"," coryavel"," eco6",0
"233"," coryavel"," eco7",0
"234"," coryavel"," eco8",0
"235"," cratmono"," eco1",0
"236"," cratmono"," eco10",0
"237"," cratmono"," eco11",0
"238"," cratmono"," eco12",0
"239"," cratmono"," eco14",0
"240"," cratmono"," eco16",0
"241"," cratmono"," eco17",0
"242"," cratmono"," eco18",0
"243"," cratmono"," eco19",0
"244"," cratmono"," eco2",0
"245"," cratmono"," eco20",0
"246"," cratmono"," eco21",0
"247"," cratmono"," eco22",0
"248"," cratmono"," eco23",0
"249"," cratmono"," eco24",0
"250"," cratmono"," eco25",0
"251"," cratmono"," eco26",0
"252"," cratmono"," eco27",0
"253"," cratmono"," eco28",0
"254"," cratmono"," eco29",0
"255"," cratmono"," eco3",0
"256"," cratmono"," eco30",0
"257"," cratmono"," eco4",0
"258"," cratmono"," eco6",0
"259"," cratmono"," eco7",0
"260"," cratmono"," eco8",0
"261"," fagusylv"," eco1",0
"262"," fagusylv"," eco10",0
"263"," fagusylv"," eco11",0
"264"," fagusylv"," eco12",0
"265"," fagusylv"," eco14",0
"266"," fagusylv"," eco16",0
"267"," fagusylv"," eco17",0
"268"," fagusylv"," eco18",0
"269"," fagusylv"," eco19",0
"270"," fagusylv"," eco2",0
"271"," fagusylv"," eco20",0
"272"," fagusylv"," eco21",0
"273"," fagusylv"," eco22",0
"274"," fagusylv"," eco23",0
"275"," fagusylv"," eco24",0
"276"," fagusylv"," eco25",0
"277"," fagusylv"," eco26",0
"278"," fagusylv"," eco27",0
"279"," fagusylv"," eco28",0
"280"," fagusylv"," eco29",0
"281"," fagusylv"," eco3",0
"282"," fagusylv"," eco30",0
"283"," fagusylv"," eco4",0
"284"," fagusylv"," eco6",0
"285"," fagusylv"," eco7",0
"286"," fagusylv"," eco8",0
"287"," franalnu"," eco1",0.03
"288"," franalnu"," eco10",0
"289"," franalnu"," eco11",0.02
"290"," franalnu"," eco12",0.04
"291"," franalnu"," eco14",0
"292"," franalnu"," eco16",0
"293"," franalnu"," eco17",0.04
"294"," franalnu"," eco18",0
"295"," franalnu"," eco19",0
"296"," franalnu"," eco2",0
"297"," franalnu"," eco20",0
"298"," franalnu"," eco21",0
"299"," franalnu"," eco22",0
"300"," franalnu"," eco23",0
"301"," franalnu"," eco24",0
"302"," franalnu"," eco25",0.02
"303"," franalnu"," eco26",0
"304"," franalnu"," eco27",0
"305"," franalnu"," eco28",0
"306"," franalnu"," eco29",0.06
"307"," franalnu"," eco3",0.02
"308"," franalnu"," eco30",0
"309"," franalnu"," eco4",0
"310"," franalnu"," eco6",0
"311"," franalnu"," eco7",0
"312"," franalnu"," eco8",0.02
"313"," fraxexce"," eco1",0
"314"," fraxexce"," eco10",0
"315"," fraxexce"," eco11",0
"316"," fraxexce"," eco12",0
"317"," fraxexce"," eco14",0
"318"," fraxexce"," eco16",0
"319"," fraxexce"," eco17",0
"320"," fraxexce"," eco18",0
"321"," fraxexce"," eco19",0
"322"," fraxexce"," eco2",0
"323"," fraxexce"," eco20",0
"324"," fraxexce"," eco21",0
"325"," fraxexce"," eco22",0
"326"," fraxexce"," eco23",0
"327"," fraxexce"," eco24",0
"328"," fraxexce"," eco25",0
"329"," fraxexce"," eco26",0
"330"," fraxexce"," eco27",0
"331"," fraxexce"," eco28",0
"332"," fraxexce"," eco29",0
"333"," fraxexce"," eco3",0
"334"," fraxexce"," eco30",0
"335"," fraxexce"," eco4",0
"336"," fraxexce"," eco6",0
"337"," fraxexce"," eco7",0
"338"," fraxexce"," eco8",0
"339"," ilexaqui"," eco1",0
"340"," ilexaqui"," eco10",0
"341"," ilexaqui"," eco11",0
"342"," ilexaqui"," eco12",0
